camp;id;FY;DMY;D-value;iNDF;NDF;WSC;Ncont;NU;OMD;valk;INDF;Nup
;40227;8770.114943;2289.0;71.7;;57.4;;;;78.3;17.1;;
;40228;7330.855019;1972.0;72.1;;57.7;;;;78.51;18.2;;
;40229;7924.81203;2108.0;72.2;;55.6;;;;78.78;18.2;;
;40230;7766.283525;2027.0;71.7;;58.6;;;;77.77;17.7;;
;40231;7402.135231;2080.0;72.1;;56.8;;;;78.4;17.6;;
;40232;6686.006826;1959.0;72.2;;56.3;;;;78.81;18.4;;
;40233;7560.810811;2238.0;71.6;;58.4;;;;77.81;16.0;;
;40234;6539.792388;1890.0;71.7;;58.2;;;;78.1;17.1;;
;40235;8222.614841;2327.0;71.6;;57.6;;;;77.95;17.3;;
;40236;8602.189781;2357.0;70.9;;59.2;;;;77.25;17.0;;
;40237;7031.141869;2032.0;71.2;;60.4;;;;77.14;16.0;;
;40238;7404.605263;2251.0;71.5;;56.1;;;;78.03;17.7;;
;40239;6404.605263;1947.0;72.9;;56.0;;;;79.05;16.5;;
;40240;9106.463878;2395.0;69.0;;58.7;;;;75.97;18.0;;
;40241;6909.090909;1900.0;72.3;;58.0;;;;78.71;18.2;;
